id,id_vente,prix_total,date_vente,qte_medicament,medicament
7466,2013,287245,2019-06-29 00:00:00,29,2
7465,2398,210188,2019-06-18 00:00:00,44,92
7464,2935,194670,2019-06-06 00:00:00,30,24
7463,2180,283638,2019-06-13 00:00:00,41,18
7462,2166,94757,2019-06-06 00:00:00,13,7
7461,2156,147880,2019-06-11 00:00:00,40,71
7460,2767,86880,2019-06-16 00:00:00,12,58
7459,2553,118065,2019-06-05 00:00:00,15,10
7458,2632,47770,2019-06-25 00:00:00,10,92
7457,2124,226067,2019-06-13 00:00:00,23,35
7456,2043,163921,2019-06-09 00:00:00,23,12
7455,2548,122850,2019-06-11 00:00:00,39,51
7454,2815,94452,2019-06-01 00:00:00,12,10
7453,2340,241632,2019-06-27 00:00:00,32,22
7452,2463,288304,2019-06-16 00:00:00,37,0
7451,2169,359128,2019-06-19 00:00:00,44,30
7450,2162,255966,2019-06-08 00:00:00,37,18
7449,2663,96902,2019-06-24 00:00:00,13,55
7448,2726,94424,2019-06-07 00:00:00,44,46
7447,2407,62388,2019-06-23 00:00:00,18,1
7446,2306,81590,2019-06-03 00:00:00,41,39
7445,2925,35784,2019-06-08 00:00:00,14,86
7444,2563,345136,2019-06-17 00:00:00,37,17
7443,2754,40209,2019-06-13 00:00:00,13,16
7442,2661,344960,2019-06-19 00:00:00,40,89
7441,2329,241472,2019-06-10 00:00:00,28,89
7440,2149,188181,2019-06-18 00:00:00,29,24
7439,2757,153595,2019-06-29 00:00:00,17,69
7438,2003,151020,2019-06-10 00:00:00,20,22
7437,2175,119264,2019-06-06 00:00:00,16,55
7436,2507,85031,2019-06-13 00:00:00,23,71
7435,2429,422647,2019-06-08 00:00:00,43,35
7434,2324,221376,2019-06-09 00:00:00,32,18
7433,2900,139185,2019-06-26 00:00:00,45,16
7432,2620,300880,2019-06-26 00:00:00,40,40
7431,2869,88528,2019-06-19 00:00:00,22,81
7430,2174,13020,2019-06-29 00:00:00,10,9
7429,2197,302940,2019-06-01 00:00:00,36,65
7428,2596,81198,2019-06-05 00:00:00,26,15
7427,2070,92412,2019-06-13 00:00:00,17,3
7426,2244,79443,2019-06-26 00:00:00,13,80
7425,2109,96804,2019-06-11 00:00:00,12,44
7424,2879,126180,2019-06-05 00:00:00,15,5
7423,2431,151596,2019-06-10 00:00:00,18,29
7422,2222,44100,2019-06-15 00:00:00,14,51
7421,2871,38126,2019-06-15 00:00:00,11,1
7420,2984,225876,2019-06-10 00:00:00,28,44
7419,2543,126330,2019-06-12 00:00:00,15,29
7418,2133,359128,2019-06-23 00:00:00,44,30
7417,2326,285836,2019-06-03 00:00:00,38,40
7416,2357,71379,2019-06-13 00:00:00,11,24
7415,2525,318560,2019-06-02 00:00:00,44,58
7414,2667,47770,2019-06-11 00:00:00,10,92
7413,2735,90846,2019-06-11 00:00:00,14,24
7412,2675,184302,2019-06-15 00:00:00,27,34
7411,2212,144648,2019-06-05 00:00:00,21,70
7410,2401,105094,2019-06-25 00:00:00,22,92
7409,2564,238329,2019-06-07 00:00:00,39,80
7408,2640,63375,2019-06-10 00:00:00,13,83
7407,2952,103887,2019-06-01 00:00:00,17,80
7406,2439,164997,2019-06-15 00:00:00,27,80
7405,2053,31395,2019-06-06 00:00:00,13,8
7404,2378,80670,2019-06-03 00:00:00,10,44
7403,2564,160018,2019-06-05 00:00:00,19,29
7402,2549,69320,2019-06-29 00:00:00,20,1
7401,2891,246375,2019-06-20 00:00:00,45,31
7400,2142,262015,2019-06-21 00:00:00,29,69
7399,2874,208050,2019-06-01 00:00:00,38,31
7398,2804,231712,2019-06-16 00:00:00,32,67
7397,2987,307170,2019-06-19 00:00:00,45,34
7396,2743,205216,2019-06-28 00:00:00,22,17
7395,2598,158576,2019-06-09 00:00:00,17,17
7394,2530,241536,2019-06-24 00:00:00,32,66
7393,2645,206568,2019-06-08 00:00:00,38,3
7392,2860,122220,2019-06-17 00:00:00,20,80
7391,2461,129694,2019-06-20 00:00:00,19,34
7390,2982,171424,2019-06-03 00:00:00,22,0
7389,2352,310282,2019-06-23 00:00:00,37,76
7388,2875,128520,2019-06-22 00:00:00,28,78
7387,2491,238910,2019-06-11 00:00:00,35,34
7386,2565,38126,2019-06-09 00:00:00,11,1
7385,2668,275520,2019-06-24 00:00:00,40,70
7384,2681,135525,2019-06-02 00:00:00,15,69
7383,2147,167720,2019-06-27 00:00:00,20,76
7382,2156,195027,2019-06-06 00:00:00,21,38
7381,2865,356580,2019-06-05 00:00:00,36,2
7380,2291,73125,2019-06-10 00:00:00,15,83
7379,2615,120450,2019-06-27 00:00:00,22,31
7378,2793,214500,2019-06-12 00:00:00,44,83
7377,2767,100800,2019-06-14 00:00:00,32,51
7376,2376,227124,2019-06-13 00:00:00,27,5
7375,2499,74240,2019-06-22 00:00:00,29,6
7374,2002,243194,2019-06-19 00:00:00,29,76
7373,2967,59700,2019-06-04 00:00:00,30,39
7372,2641,178290,2019-06-17 00:00:00,18,2
7371,2242,81792,2019-06-25 00:00:00,32,86
7370,2922,148888,2019-06-23 00:00:00,37,81
7369,2531,91305,2019-06-01 00:00:00,15,36
7368,2716,41968,2019-06-09 00:00:00,16,27
7367,2719,195572,2019-06-09 00:00:00,26,40
7366,2828,48524,2019-06-15 00:00:00,14,1
7365,2384,313588,2019-06-24 00:00:00,44,12
7364,2259,48524,2019-06-16 00:00:00,14,49
7363,2068,58788,2019-06-19 00:00:00,23,86
7362,2558,136092,2019-06-05 00:00:00,44,16
7361,2377,158480,2019-06-10 00:00:00,16,2
7360,2655,233508,2019-06-10 00:00:00,33,42
7359,2336,102046,2019-06-12 00:00:00,14,7
7358,2606,270826,2019-06-15 00:00:00,38,12
7357,2367,371480,2019-06-07 00:00:00,40,38
7356,2061,177474,2019-06-21 00:00:00,22,44
7355,2844,247625,2019-06-01 00:00:00,25,2
7354,2566,318604,2019-06-03 00:00:00,44,67
7353,2984,107446,2019-06-04 00:00:00,31,49
7352,2685,165312,2019-06-09 00:00:00,24,70
7351,2309,311320,2019-06-15 00:00:00,43,58
7350,2764,111348,2019-06-19 00:00:00,36,16
7349,2455,238920,2019-06-11 00:00:00,33,58
7348,2749,89934,2019-06-16 00:00:00,13,18
7347,2333,204780,2019-06-22 00:00:00,30,34
7346,2594,50715,2019-06-23 00:00:00,21,8
7345,2439,120060,2019-06-19 00:00:00,23,90
7344,2169,163824,2019-06-19 00:00:00,24,34
7343,2319,214020,2019-06-19 00:00:00,41,90
7342,2230,159885,2019-06-15 00:00:00,19,65
7341,2013,40599,2019-06-15 00:00:00,13,15
7340,2434,109908,2019-06-09 00:00:00,43,86
7339,2672,326483,2019-06-12 00:00:00,41,87
7338,2772,14916,2019-06-23 00:00:00,12,23
7337,2733,165312,2019-06-13 00:00:00,24,70
7336,2169,334332,2019-06-12 00:00:00,36,38
7335,2002,104871,2019-06-26 00:00:00,13,44
7334,2671,42262,2019-06-02 00:00:00,34,23
7333,2426,151776,2019-06-22 00:00:00,17,20
7332,2462,297150,2019-06-11 00:00:00,30,2
7331,2177,107520,2019-06-03 00:00:00,42,6
7330,2377,62388,2019-06-01 00:00:00,18,1
7329,2078,76252,2019-06-29 00:00:00,22,49
7328,2839,162630,2019-06-29 00:00:00,18,69
7327,2705,286938,2019-06-26 00:00:00,38,22
7326,2319,373502,2019-06-16 00:00:00,38,35
7325,2515,35840,2019-06-22 00:00:00,14,6
7324,2058,33561,2019-06-13 00:00:00,27,23
7323,2231,75220,2019-06-01 00:00:00,10,40
7322,2627,118304,2019-06-24 00:00:00,32,71
7321,2902,33280,2019-06-12 00:00:00,13,6
7320,2111,71680,2019-06-07 00:00:00,28,6
7319,2676,43470,2019-06-19 00:00:00,18,8
7318,2512,104400,2019-06-06 00:00:00,20,90
7317,2387,339795,2019-06-13 00:00:00,45,22
7316,2720,311614,2019-06-03 00:00:00,37,29
7315,2005,173006,2019-06-05 00:00:00,23,40
7314,2044,109871,2019-06-09 00:00:00,23,92
7313,2716,129395,2019-06-23 00:00:00,35,71
7312,2775,146146,2019-06-17 00:00:00,26,57
7311,2590,55080,2019-06-15 00:00:00,12,78
7310,2028,168714,2019-06-08 00:00:00,26,24
7309,2254,151125,2019-06-06 00:00:00,31,83
7308,2346,302832,2019-06-26 00:00:00,36,5
7307,2273,163988,2019-06-23 00:00:00,22,55
7306,2383,117768,2019-06-14 00:00:00,14,5
7305,2801,56336,2019-06-10 00:00:00,14,81
7304,2080,286824,2019-06-26 00:00:00,38,66
7303,2046,86892,2019-06-27 00:00:00,12,67
