id,id_vente,prix_total,date_vente,qte_medicament,medicament
10566,4996,43142,2014-10-13 00:00:00,11,52
10565,4999,62388,2014-09-28 00:00:00,18,1
10564,4998,71960,2014-11-09 00:00:00,8,54
10563,4997,102088,2014-11-07 00:00:00,14,71
10562,4996,64890,2014-11-22 00:00:00,10,24
10561,4999,96726,2014-09-30 00:00:00,14,68
10560,4997,29640,2014-11-22 00:00:00,5,29
10559,4999,118371,2014-10-23 00:00:00,17,89
10558,4999,99946,2014-10-08 00:00:00,11,22
10557,4997,89670,2014-11-17 00:00:00,10,47
10556,5000,90660,2014-10-03 00:00:00,20,56
10555,4998,38710,2014-10-05 00:00:00,14,5
10554,4997,91568,2014-11-18 00:00:00,16,92
10553,5000,62517,2014-11-02 00:00:00,13,9
10552,4997,54400,2014-10-27 00:00:00,10,33
10551,4998,45948,2014-10-19 00:00:00,6,31
10550,4999,110364,2014-11-21 00:00:00,17,86
10549,4996,71960,2014-10-18 00:00:00,8,54
10548,4998,62230,2014-10-15 00:00:00,14,17
10547,5000,49290,2014-10-14 00:00:00,6,35
10546,4999,166410,2014-10-12 00:00:00,18,4
10545,4999,13930,2014-10-29 00:00:00,7,39
10544,4997,19754,2014-11-15 00:00:00,7,53
10543,5000,47408,2014-11-26 00:00:00,8,88
10542,5000,98580,2014-11-08 00:00:00,12,35
10541,5000,53568,2014-11-24 00:00:00,6,20
10540,4996,54396,2014-11-19 00:00:00,12,56
10539,4998,34545,2014-10-29 00:00:00,5,68
10538,4997,71379,2014-11-12 00:00:00,11,24
10537,5000,34338,2014-10-14 00:00:00,6,92
10536,4997,99054,2014-10-08 00:00:00,18,45
10535,4999,25398,2014-10-03 00:00:00,9,53
10534,4997,24480,2014-10-27 00:00:00,15,78
10533,5000,87956,2014-11-19 00:00:00,11,21
10532,4996,19730,2014-10-20 00:00:00,10,91
10531,5000,38952,2014-11-01 00:00:00,6,86
10530,4997,36360,2014-11-12 00:00:00,18,23
